customer_id,customer_name,age,gender,city,country,city_tier,budget_min_npr,budget_max_npr,preferred_brand,brand_loyalty_score,gaming_interest,camera_interest,battery_interest,display_interest,performance_interest,software_interest,value_interest,min_ram_gb,min_storage_gb,chipset_tier,min_refresh_rate_hz,min_battery_mah,purchase_frequency_per_year,n_past_purchases,avg_session_minutes,search_freq_per_week,compare_freq_per_week,click_through_rate,recency_days,avg_rating_given,interaction_channel,wishlist_conversion_rate,accessory_affinity,true_archetype
syn_u_00000,Anjali Adhikari,39,Male,Phalebas,Nepal,tier_2,27199,135367,Samsung,0.89,32.6,58.6,49.3,57.6,62.7,50.1,55.0,6,128,Mid,90,4500,1.5,4,13.5,8,3,0.35,327,4.6,Website,0.62,0.31,Brand-Loyal Customer
syn_u_00001,Suresh Khadka,30,Female,Sarlahi,Nepal,tier_2,8009,22842,Realme,0.51,38.2,44.0,74.0,46.8,25.5,42.4,90.3,4,64,Budget,60,5500,1.1,1,8.3,15,11,0.6,80,3.1,Mobile App,0.09,0.3,Budget Buyer
syn_u_00002,Sabita Parajuli,34,Male,Damak,Nepal,tier_2,27657,98050,Samsung,0.52,45.0,48.2,47.9,52.6,41.3,48.4,65.9,6,128,Mid,90,5000,1.4,1,10.5,6,3,0.34,90,3.7,WhatsApp,0.22,0.53,All-Round User
syn_u_00003,Dinesh Sherpa,33,Male,Janakpur,Nepal,tier_1,36116,142107,Samsung,1.0,42.7,50.9,59.1,58.2,47.2,44.4,37.3,6,128,Mid,90,5000,1.0,2,12.7,5,3,0.28,336,4.4,Daraz,0.42,0.27,Brand-Loyal Customer
syn_u_00004,Gita Pandey,20,Male,Manang,Nepal,tier_2,46944,170324,ASUS,0.71,85.3,33.3,64.9,70.9,98.3,42.4,59.2,12,256,Flagship,144,5500,2.6,3,15.6,21,10,0.39,62,3.2,Daraz,0.3,0.74,Hardcore Gamer
syn_u_00005,Prakash Simkhada,26,Male,Jumla,Nepal,tier_1,53381,196039,Oneplus,0.59,84.4,62.4,62.8,86.1,73.6,53.1,32.1,8,256,Flagship,144,5500,1.9,2,26.3,13,14,0.33,74,4.5,Mobile App,0.31,0.5,Display Enthusiast
syn_u_00006,Krishna Kafle,39,Male,Rasuwa,Nepal,tier_2,29730,144485,Apple,0.89,57.0,47.2,51.8,52.2,66.2,43.4,52.1,6,128,Mid,90,4500,1.9,3,14.5,3,3,0.21,189,3.3,Mobile App,0.33,0.41,Brand-Loyal Customer
syn_u_00007,Krishna Shrestha,34,Female,Lamjung,Nepal,tier_2,33448,173396,Apple,1.0,38.4,59.1,52.3,49.9,58.4,54.7,54.6,6,128,Mid,90,4500,1.6,3,14.6,8,2,0.24,117,4.6,Mobile App,0.45,0.41,Brand-Loyal Customer
syn_u_00008,Prakash Bohara,28,Female,Bharatpur,Nepal,rural,45116,222017,Google,0.78,27.2,98.1,52.8,62.9,55.6,56.2,50.7,8,256,Flagship,90,5000,1.5,3,20.0,13,6,0.38,40,4.4,Mobile App,0.33,0.91,Mobile Photographer
syn_u_00009,Sushant Bhattarai,27,Female,Gorkha,Nepal,rural,7953,34241,Realme,0.69,32.4,36.0,78.6,39.6,29.4,39.7,93.8,4,64,Budget,60,5500,1.5,2,9.1,15,7,0.44,112,3.4,Daraz,0.14,0.5,Budget Buyer
